participant_ID,group,scenario,condition,dialekt,generated_url
P04,g2,s2,c1,TTS (c1),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=P04&entry.452918499=g2&entry.2030388060=s2&entry.589748738=c1
P04,g2,s3,c2,Rikssvenska (c2),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=P04&entry.452918499=g2&entry.2030388060=s3&entry.589748738=c2
P05,g2,s1,c3,Skånska (c3),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=P05&entry.452918499=g2&entry.2030388060=s1&entry.589748738=c3
P05,g2,s2,c1,TTS (c1),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=P05&entry.452918499=g2&entry.2030388060=s2&entry.589748738=c1
P05,g2,s3,c2,Rikssvenska (c2),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=P05&entry.452918499=g2&entry.2030388060=s3&entry.589748738=c2
P06,g2,s1,c3,Skånska (c3),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=P06&entry.452918499=g2&entry.2030388060=s1&entry.589748738=c3
P06,g2,s2,c1,TTS (c1),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=P06&entry.452918499=g2&entry.2030388060=s2&entry.589748738=c1
P06,g2,s3,c2,Rikssvenska (c2),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=P06&entry.452918499=g2&entry.2030388060=s3&entry.589748738=c2
P07,g3,s1,c2,Rikssvenska (c2),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=P07&entry.452918499=g3&entry.2030388060=s1&entry.589748738=c2
P07,g3,s2,c3,Skånska (c3),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=P07&entry.452918499=g3&entry.2030388060=s2&entry.589748738=c3
P07,g3,s3,c1,TTS (c1),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=P07&entry.452918499=g3&entry.2030388060=s3&entry.589748738=c1
P08,g3,s1,c2,Rikssvenska (c2),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=P08&entry.452918499=g3&entry.2030388060=s1&entry.589748738=c2
P08,g3,s2,c3,Skånska (c3),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=P08&entry.452918499=g3&entry.2030388060=s2&entry.589748738=c3
P08,g3,s3,c1,TTS (c1),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=P08&entry.452918499=g3&entry.2030388060=s3&entry.589748738=c1
P09,g3,s1,c2,Rikssvenska (c2),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=P09&entry.452918499=g3&entry.2030388060=s1&entry.589748738=c2
P09,g3,s2,c3,Skånska (c3),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=P09&entry.452918499=g3&entry.2030388060=s2&entry.589748738=c3
P09,g3,s3,c1,TTS (c1),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=P09&entry.452918499=g3&entry.2030388060=s3&entry.589748738=c1
T10,g1,s1,c1,TTS (c1),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=T10&entry.452918499=g1&entry.2030388060=s1&entry.589748738=c1
T10,g1,s2,c2,Rikssvenska (c2),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=T10&entry.452918499=g1&entry.2030388060=s2&entry.589748738=c2
T10,g1,s3,c3,Skånska (c3),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=T10&entry.452918499=g1&entry.2030388060=s3&entry.589748738=c3
T11,g1,s1,c1,TTS (c1),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=T11&entry.452918499=g1&entry.2030388060=s1&entry.589748738=c1
